customer_id,company_name,industry,company_size,country_code,country_name,timezone,contact_email,signup_date,is_active,churned_at,churn_reason,nps_score,is_churned,plan_tier,plan_name,mrr_usd,status,start_date,end_date,billing_cycle,cancellation_reason,ticket_count,avg_satisfaction,escalated_count,total_events,days_active,feature_count,avg_session_sec,engagement_score,member_count,high_ticket,ticket_bucket,segment_label
1,Rush Platform,E-commerce,small,FR,France,Europe/Paris,michael.baker@corp.net,2023-01-31,False,2024-02-26 10:13:36,Outgrew the platform,,True,professional,Professional Plus,44.25,cancelled,2023-04-20,2024-02-26,annual,Switched competitor,0,,0,40,1,1,1844.4545454545455,0.7124,39,False,0 tickets,Churned — Low Engagement
2,TrekStack,Manufacturing,small,CA,Canada,America/Toronto,emily.moore+work@startup.co,2023-06-09,True,,,,False,free,Free,0.0,paused,2023-06-09,,monthly,,1,,0,34,1,1,1668.5555555555557,0.7013,33,False,1 ticket,Upsell Candidates
3,Wave Group,Education,enterprise,US,United States,America/New_York,olga.robinson@wavegroup.com,2023-10-28,True,,,,False,free,Free,0.0,active,2023-10-28,,annual,,2,,0,40,1,1,1641.5454545454545,0.7168,40,False,2-3 tickets,Upsell Candidates
4,KeenSoftware,Technology,large,GB,United Kingdom,Europe/London,lars.jackson@outlook.com,2024-04-09,True,,,7.0,False,enterprise,Enterprise,82.5,active,2024-08-10,,annual,,1,4.0,0,46,1,1,1766.4473684210527,0.7241,45,False,1 ticket,Stable Paid
5,QuestAnalytics,Logistics,large,US,United States,America/Chicago,joshua.green@yahoo.com,2023-10-04,True,,,,False,starter,Starter Plus,15.83,active,2024-10-01,,annual,,0,,0,46,1,1,1722.2058823529412,0.7261,43,False,0 tickets,Stable Paid
6,RiftWorks,Insurance,small,GB,United Kingdom,Europe/London,sofia.williams@outlook.com,2025-08-23,True,,,,False,free,Free,0.0,paused,2025-08-23,,monthly,,2,4.0,0,36,1,1,1729.75,0.7086,34,False,2-3 tickets,Upsell Candidates
7,PeakIO,Telecommunications,large,CA,Canada,America/Toronto,elizabeth.taylor@tech.dev,2024-08-21,True,,,7.0,False,free,Free,0.0,active,2024-08-21,,annual,,1,,0,46,1,1,1577.3529411764705,0.7293,45,False,1 ticket,Upsell Candidates
8,Data Systems,Finance,large,US,United States,America/Los_Angeles,mei.baker@startup.co,2024-04-24,True,,,,False,free,Free,0.0,active,2024-04-24,,monthly,,0,,0,47,1,1,1731.945945945946,0.7252,43,False,0 tickets,Upsell Candidates
9,Iris Hub,Education,enterprise,SG,Singapore,Asia/Singapore,lisa.davis@gmail.com,2025-06-15,True,,,,False,free,Free,0.0,active,2025-06-15,,annual,,1,,0,50,1,1,2031.7179487179487,0.7223,48,False,1 ticket,Upsell Candidates
10,GlowSystems,Education,enterprise,SG,Singapore,Asia/Singapore,steven.hill@yahoo.com,2025-03-08,True,,,,False,professional,Professional Plus,59.0,active,2025-03-08,,monthly,,1,,0,37,1,1,1710.8076923076924,0.721,36,False,1 ticket,Stable Paid
