customer_id,company_name,industry,company_size,country_code,country_name,timezone,contact_email,signup_date,is_active,churned_at,churn_reason,nps_score,is_churned,plan_tier,plan_name,mrr_usd,status,start_date,end_date,billing_cycle,cancellation_reason,ticket_count,avg_satisfaction,escalated_count,total_events,days_active,feature_count,avg_session_sec,engagement_score,member_count,high_ticket,ticket_bucket,segment_label,ticket_bucket_sort
1,Rush Platform,E-commerce,small,FR,France,Europe/Paris,michael.baker@corp.net,2023-01-31,0,2024-02-26 10:13:36,Outgrew the platform,7.0,1,professional,Professional Plus,44.25,cancelled,2023-04-20,2024-02-26,annual,Switched competitor,0,0.0,0,40,1,1,1844.4545454545453,0.7124,39,0,0 tickets,Churned — Low Engagement,1
2,TrekStack,Manufacturing,small,CA,Canada,America/Toronto,emily.moore+work@startup.co,2023-06-09,1,0,Not Churned,7.0,0,free,Free,0.0,paused,2023-06-09,0,monthly,Not Cancelled,1,0.0,0,34,1,1,1668.5555555555557,0.7013,33,0,1 ticket,Upsell Candidates,2
3,Wave Group,Education,enterprise,US,United States,America/New_York,olga.robinson@wavegroup.com,2023-10-28,1,0,Not Churned,7.0,0,free,Free,0.0,active,2023-10-28,0,annual,Not Cancelled,2,0.0,0,40,1,1,1641.5454545454545,0.7168,40,0,2-3 tickets,Upsell Candidates,3
4,KeenSoftware,Technology,large,GB,United Kingdom,Europe/London,lars.jackson@outlook.com,2024-04-09,1,0,Not Churned,7.0,0,enterprise,Enterprise,82.5,active,2024-08-10,0,annual,Not Cancelled,1,4.0,0,46,1,1,1766.4473684210527,0.7241,45,0,1 ticket,Stable Paid,2
5,QuestAnalytics,Logistics,large,US,United States,America/Chicago,joshua.green@yahoo.com,2023-10-04,1,0,Not Churned,7.0,0,starter,Starter Plus,15.83,active,2024-10-01,0,annual,Not Cancelled,0,0.0,0,46,1,1,1722.2058823529412,0.7261,43,0,0 tickets,Stable Paid,1
6,RiftWorks,Insurance,small,GB,United Kingdom,Europe/London,sofia.williams@outlook.com,2025-08-23,1,0,Not Churned,7.0,0,free,Free,0.0,paused,2025-08-23,0,monthly,Not Cancelled,2,4.0,0,36,1,1,1729.75,0.7086,34,0,2-3 tickets,Upsell Candidates,3
7,PeakIO,Telecommunications,large,CA,Canada,America/Toronto,elizabeth.taylor@tech.dev,2024-08-21,1,0,Not Churned,7.0,0,free,Free,0.0,active,2024-08-21,0,annual,Not Cancelled,1,0.0,0,46,1,1,1577.3529411764705,0.7293,45,0,1 ticket,Upsell Candidates,2
8,Data Systems,Finance,large,US,United States,America/Los_Angeles,mei.baker@startup.co,2024-04-24,1,0,Not Churned,7.0,0,free,Free,0.0,active,2024-04-24,0,monthly,Not Cancelled,0,0.0,0,47,1,1,1731.945945945946,0.7252,43,0,0 tickets,Upsell Candidates,1
9,Iris Hub,Education,enterprise,SG,Singapore,Asia/Singapore,lisa.davis@gmail.com,2025-06-15,1,0,Not Churned,7.0,0,free,Free,0.0,active,2025-06-15,0,annual,Not Cancelled,1,0.0,0,50,1,1,2031.7179487179487,0.7223,48,0,1 ticket,Upsell Candidates,2
10,GlowSystems,Education,enterprise,SG,Singapore,Asia/Singapore,steven.hill@yahoo.com,2025-03-08,1,0,Not Churned,7.0,0,professional,Professional Plus,59.0,active,2025-03-08,0,monthly,Not Cancelled,1,0.0,0,37,1,1,1710.8076923076924,0.721,36,0,1 ticket,Stable Paid,2
